name;program_id;CIP;CIP_desc;College;Department;Program;Award;year
Dr. Juliann McLaughlin MD;  8;130501;Educational Tech;College of Education;Education;Educational Technology;Master's Degrees;2003
Selmer Smitham;482;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Doctoral Degrees;2003
Shana White;241;513801;Registered Nursing/Reg Nurse;College of Arts & Sciences;School of Nursing;Nursing;Bachelor's Degrees;2003
Miss Paulette Bergnaum PhD;278;120401;Cosmetology;Career & Tech Ed;Technology;Cosmetology;Certs of Achievement;2003
Todd Dicki;175;161200;Lang&Lit/Europe&Amer-Classics;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Bachelor's Degrees;2003
Dillion Prohaska; 41;520301;Accounting;Career & Tech Ed;Business Education;Accounting;Certs of Achievement;2003
Chancy Schultz;220;260406;Cell/Cellular & Molecular Biol;College of Arts & Sciences;Natural Sciences;Microbiology;Bachelor's Degrees;2003
Dane Heller;335;470101;Electrical Install/Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Certs of Achievement;2003
Lucina Lockman;214;520201;Business Admin & Mgmt, General;Col of Business & Economics;Business & Economics;Business Administration;Bachelor's Degrees;2003
Elinore Hansen;370; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Social Sciences;Communications;Bachelor's Degrees;2003
Ronan Langworth;395;310505;Exercise & Sports Science;Career & Tech Ed;Health Services;Exercise and Sport Science;Certs of Achievement;2003
Miss Mell O'Connell DVM;121;140801;Civil Engineering;College of Engineering;Engineering;Civil Engineering;Master's Degrees;2003
Reece Hodkiewicz; 48;520901;Hospitality Admin/Mgmt, Ge;Career & Tech Ed;Business Education;Hospitality & Tourism;Associate Degrees;2003
Cleon Kuvalis;174;400801;Physics;College of Arts & Sciences;Natural Sciences;Physics & Astronomy;Doctoral Degrees;2003
Jayme Bartoletti;417;520301;Accounting;Col of Business & Economics;Business & Economics;Accounting;Bachelor's Degrees;2003
Ms. Zoey McKenzie MD;246; 50207;Women's Studies;College of Arts & Sciences;Social Sciences;Women's Studies;Bachelor's Degrees;2003
Octavius Moen;283;142401;Ocean & Resources Engineering;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Ocean & Res Eng;Master's Degrees;2003
Nathalie Donnelly;125;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire Science;Certs of Achievement;2003
Mr. Chad Koch;403;240103;Humanities;Humanities Division;Humanities;Philosophy;Bachelor's Degrees;2003
Dr. Jetta Fisher PhD;379;142401;Ocean & Resources Engineering;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Ocean & Res Eng;Doctoral Degrees;2003
Laci Keebler;376;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Bachelor's Degrees;2003
Almus Turcotte;260;110901;Computer Sys Netwrk & Telecom;Career & Tech Ed;Technology;Comp Elec & Net Tech;Associate Degrees;2003
Dedrick Daugherty;424;260202;Biochemistry;College of Arts & Sciences;Natural Sciences;Chemistry;Bachelor's Degrees;2003
Romello O'Conner I;116;513801;Registered Nursing/Reg Nurse;Schl of Nurs & Dental Hygiene;Nursing & Dental Hygiene;Professional Nursing;Master's Degrees;2003
Amy Von;290;270101;Mathematics, General;College of Arts & Sciences;Natural Sciences;Mathematics;Doctoral Degrees;2003
Tanika Crooks; 42; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Social Sciences;Communications;Master's Degrees;2003
Butch Schimmel; 33;120500;Food Service;Career & Tech Ed;Food Services;Culinary Arts;Certs of Achievement;2003
Fritz Ruecker-Buckridge;429;261201;Biotechnology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Bachelor's Degrees;2003
Mr. Bethel Witting;419;260406;Cell/Cellular & Molecular Biol;School of Medicine;School of Medicine;Biomed Sci(Cell&Molecular Bio);Doctoral Degrees;2003
Mistie Klein; 26;131210;Early Childhood Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2003
Dr. Estill Schmitt III;448;130501;Educational Tech;College of Education;Education;Learning Design & Technology;Doctoral Degrees;2003
Twyla Block;316;520101;General Business;Career & Tech Ed;Business Education;Business Careers;Certs of Achievement;2003
Channing Hamill; 20;520901;Hospitality Admin/Mgmt, Ge;Career & Tech Ed;Business Education;Hospitality & Tourism;Certs of Achievement;2003
Mr. Codey Rosenbaum;196;240101;Liberal Arts;College of Arts & Sciences;Interdisciplinary Majors;Liberal Studies;Bachelor's Degrees;2003
Cleora Dickens;197;440401;Public Administration;Professional Studies Division;Public Administration;General Public Administration;Bachelor's Degrees;2003
Alysia Cassin-Crooks;452;521001;Human Resource Management;College of Business Admin;Business Administration;Mgt & Industrial Rel;Master's Degrees;2003
Hadley Crona;498;261309;Epidemiology;School of Medicine;School of Medicine;Public Health Studies;Doctoral Degrees;2003
Rosario Kulas DDS;355;131001;Special Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2003
Rollin Beer; 15;451001;Political Science/Government;College of Arts & Sciences;Social Sciences;Political Science;Doctoral Degrees;2003
Lauretta Harris;188;470603;Auto Body Repair & Painting;Career & Tech Ed;Technology;Auto Body Repair & Painting;Certs of Achievement;2003
Maynard Mosciski;471; 11101;Plant Sciences, General;Career & Tech Ed;Technology;Plant Bioscience;Certs of Achievement;2003
Lidie Kling-Armstrong;339; 50103;Asian Studies;Schl of Pacific & Asian Studies;Pacific & Asian Studies;Asian Studies;Master's Degrees;2003
Dr. Erma Anderson PhD;126;450601;Economics;Col of Business & Economics;Business & Economics;Economics;Bachelor's Degrees;2003
Una Barton; 18; 30104;Global Environmental Science;College of Arts & Sciences;Natural Sciences;Trop Conserv Bio & Environ Sci;Master's Degrees;2003
Dr. Genevra Halvorson MD;359;150699;Applied Trades;Career & Tech Ed;Technology;Applied Trades;Associate Degrees;2003
Bode Weissnat Sr.;268;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Master's Degrees;2003
Mr. Amarion Wolf;308;151303;Arch Engineering & CAD Tech;Career & Tech Ed;Technology;Arch Eng & CAD Tech;Associate Degrees;2003
Mrs. Maryjo Kulas DDS; 71;521401;Marketing;Career & Tech Ed;Business Education;Marketing;Associate Degrees;2003
Mr. Bronson Runolfsdottir PhD;478;520101;General Business;Career & Tech Ed;Business Education;Business Administration;Associate Degrees;2003
Metta Lesch;276;110701;Computer Science;College of Arts & Sciences;Natural Sciences;Computer Science;Bachelor's Degrees;2003
Fred Schamberger; 37;500701;Art;College of Arts & Sciences;Arts & Humanities;Art;Master's Degrees;2003
Rickie Toy;309;120500;Food Service;Career & Tech Ed;Food Services;Culinary Arts;Other;2003
Ardelia Bednar;141;260301;Botany;College of Arts & Sciences;Natural Sciences;Botany Program;Bachelor's Degrees;2003
Edward Padberg;135;470616;Boat Maintenance & Repair;Career & Tech Ed;Technology;Small Vessel Fabricatn &Repair;Associate Degrees;2003
Latesha Weber DDS;101;520904;Hotel Operations;Career & Tech Ed;Business Education;Hospitality & Tourism;Certs of Achievement;2003
Dedra Kihn;344;260502;Microbiology;College of Arts & Sciences;Natural Sciences;Microbiology;Master's Degrees;2003
Yee Fisher; 99;400201;Astronomy;College of Arts & Sciences;Natural Sciences;Astronomy;Bachelor's Degrees;2003
Jed Mohr-Monahan; 22;400404;Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Meteorology;Bachelor's Degrees;2003
Lindy Brown;478;520101;General Business;Career & Tech Ed;Business Education;Business Administration;Associate Degrees;2003
Shirlene Moore; 78;110103;Information Technology;Career & Tech Ed;Business Education;Information Tech;Associate Degrees;2003
Ola Kautzer; 44;141901;Mechanical Engineering;College of Engineering;Engineering;Mechanical Engineering;Master's Degrees;2003
Ayanna Feeney; 11;230101;English, General;College of Arts & Sciences;Arts & Humanities;English;Bachelor's Degrees;2003
Mr. Barnett O'Keefe MD;204;151202;Electronics & Comp Engin Tech;Career & Tech Ed;Technology;Electronics & Comp Engin Tech;Certs of Achievement;2003
Kecia Leuschke;420;110101;Computer/Info Science, General;Career & Tech Ed;Business Education;Information& Computer Sciences;Associate Degrees;2003
Norita Morar DVM;198;400607;Oceanography;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Oceanography;Master's Degrees;2003
Donte Grant;358;190499;Family Resources;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Family & Consumer Sci;Bachelor's Degrees;2003
Garvin Leannon-Marks; 95;160501;German;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Bachelor's Degrees;2003
Ruthann Wintheiser;403;240103;Humanities;Humanities Division;Humanities;Philosophy;Bachelor's Degrees;2003
Colton Schaefer-Swaniawski; 92;130101;Education, General;College of Education;Education;Inst for Teacher Ed;Doctoral Degrees;2003
Jose Mosciski;496;512201;Pub Health Sci & Epidemiology;School of Medicine;School of Social Work;Public Health;Bachelor's Degrees;2003
Dr. Shelly Ankunding PhD;275;131001;Special Education;College of Education;Education;Special Education;Other;2003
Elfreda Wisozk-Schamberger;170;450101;Social Sciences;Social Sciences Division;Social Science;Social Science;Bachelor's Degrees;2003
Mrs. Ebony Strosin;330; 40401;EnvironmentalDesign/Arch;School of Architecture;School of Architecture;Environmental Design;Bachelor's Degrees;2003
Leala Farrell PhD;240;169999;Foreign Languages & Lit, Oth;Hawai`inuiakea Sch Hawn Knowledge;Hawaiian Language;Hawaiian;Master's Degrees;2003
Chantal Bashirian;469;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Master's Degrees;2003
Drew Corkery-Kuphal; 29;131205;Secondary Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2003
Fred Roberts;370; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Social Sciences;Communications;Bachelor's Degrees;2003
Oliver Dooley-Mann;118;380201;Religion;College of Arts & Sciences;Arts & Humanities;Religion;Bachelor's Degrees;2003
Hudson Gislason;302;160102;Linguistics;College of Arts & Sciences;Lang, Ling & Lit;Linguistics;Doctoral Degrees;2003
Miss Mammie Waters PhD;200;240101;Liberal Arts;College of Arts & Sciences;Other Arts & Sciences;Interdisciplinary Studies;Bachelor's Degrees;2003
Winifred Runolfsdottir-Mann; 89; 11299;Soil Sciences, Other;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Tropical Plant & Soil Sci;Master's Degrees;2003
Miss Olivine Olson;227;512201;Pub Health Sci & Epidemiology;School of Medicine;School of Medicine;Public Health;Doctoral Degrees;2003
Mrs. Jean Considine MD;218;100303;Digital Media;Career & Tech Ed;Technology;Digital Media Production;Certs of Achievement;2003
Kelsey Simonis; 95;160501;German;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Bachelor's Degrees;2003
Cyntha Russel;293;161001;Am Ind/Nat Am Lang Lit Ling;Ka Haka Ula O Keelikolani;Hawaiian Lang & Lit;Indigenous Lang & Culture Educ;Master's Degrees;2003
Werner Wisozk-West;434;110901;Computer Sys Netwrk & Telecom;Career & Tech Ed;Technology;Comp Elec & Net Tech;Certs of Achievement;2003
Mr. Cruz O'Hara Sr.;284;131205;Secondary Education;College of Arts & Sciences;Social Sciences;Education;Other;2003
Dr. Cherry Paucek; 63;470604;Automotive Mechanics Tech;Career & Tech Ed;Technology;Automotive Mechanics Tech;Associate Degrees;2003
Ephram O'Kon;159;520301;Accounting;Col of Business & Economics;Accounting;;Bachelor's Degrees;2003
Elliot Hettinger-Legros;405;440701;Social Work;School of Social Work;School of Social Work;Social Welfare;Doctoral Degrees;2003
Mickey Jast;263;310505;Exercise & Sports Science;College of Education;Education;Kinesiology & Rehab Sci;Master's Degrees;2003
Iyanna Kassulke;429;261201;Biotechnology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Bachelor's Degrees;2003
Lavonda Senger;412;400601;Geology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Geology;Master's Degrees;2003
Madison Botsford; 83;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire Science;Associate Degrees;2003
Almon Hamill-Maggio; 18; 30104;Global Environmental Science;College of Arts & Sciences;Natural Sciences;Trop Conserv Bio & Environ Sci;Master's Degrees;2003
Egbert Rice;298;440701;Social Work;School of Social Work;School of Social Work;Social Work;Master's Degrees;2003
Blain Ferry; 26;131210;Early Childhood Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2003
Mrs. Cherryl Bauch;289;470608;Aircraft Powerplant Technology;Career & Tech Ed;Technology;Aeronautics Maint Tech;Certs of Achievement;2003
Caiden Kilback;366;520301;Accounting;College of Business Admin;Business Administration;School of Accountancy;Bachelor's Degrees;2003
Mr. Ott Bernhard;452;521001;Human Resource Management;College of Business Admin;Business Administration;Mgt & Industrial Rel;Master's Degrees;2003
Kayden Bauch;309;120500;Food Service;Career & Tech Ed;Food Services;Culinary Arts;Other;2003
Dr. Hjalmar Wehner IV;373; 11299;Soil Sciences, Other;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Tropical Plant & Soil Sci;Bachelor's Degrees;2003
Stephanie Bernhard;178;120401;Cosmetology;Career & Tech Ed;Technology;Cosmetology;Associate Degrees;2003
Douglass Wiegand;402;260102;Biomedical Science;School of Medicine;School of Medicine;Biomedical Sciences;Doctoral Degrees;2003
Toshio Raynor Sr.;151;140301;Agricultural Engineering;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Doctoral Degrees;2003
Sampson Schumm;100;510801;Medical/Clinical Assistant;Career & Tech Ed;Health Services;Medical Assisting;Certs of Achievement;2003
Sabrina Ernser;457; 50207;Women's Studies;College of Arts & Sciences;Social Sciences;Gender & Women's Studies;Bachelor's Degrees;2003
Enrico Abbott; 88;150701;Occuptnl Environmtl Safety Mgt;Career & Tech Ed;Public Services;Occupational Envir Safety Mgt;Associate Degrees;2003
Mr. Jens Douglas IV; 75;480506;Sheet Metal & Plastics;Career & Tech Ed;Technology;Sheet Metal & Plastics Tech;Certs of Achievement;2003
Kayson Bins-Gerhold;452;521001;Human Resource Management;College of Business Admin;Business Administration;Mgt & Industrial Rel;Master's Degrees;2003
Taurean Schuppe;327;460302;Elec Install & Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Associate Degrees;2003
Essence Wolf; 91;100303;Digital Media;Career & Tech Ed;Technology;Digital Media Production;Associate Degrees;2003
Admiral Shields; 42; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Social Sciences;Communications;Master's Degrees;2003
Miss Faith Dare;116;513801;Registered Nursing/Reg Nurse;Schl of Nurs & Dental Hygiene;Nursing & Dental Hygiene;Professional Nursing;Master's Degrees;2003
Clarance Feest; 35;470603;Auto Body Repair & Painting;Career & Tech Ed;Technology;Auto Body Repair & Painting;Associate Degrees;2003
Jasen Wiza;279;260503;Medical Micro & Bacteriology;School of Medicine;School of Medicine;Biomed Sci (Tropical Medicine);Master's Degrees;2003
Audry Weber;276;110701;Computer Science;College of Arts & Sciences;Natural Sciences;Computer Science;Bachelor's Degrees;2003
Mitzi Wolff DDS;440;513818;Nursing Practice;College of Arts & Sciences;School of Nursing;Nursing Practice;Other;2003
Koen Roob;129;151202;Electronics & Comp Engin Tech;Career & Tech Ed;Technology;Electronics & Comp Engin Tech;Associate Degrees;2003
Tabetha Brown-Rempel;465; 10606;Plant Nursery Ops & Mgmt;Career & Tech Ed;Technology;Agriculture;Certs of Achievement;2003
Michel Lang;129;151202;Electronics & Comp Engin Tech;Career & Tech Ed;Technology;Electronics & Comp Engin Tech;Associate Degrees;2003
Andon Kihn;161;451101;Sociology;College of Arts & Sciences;Social Sciences;Sociology;Doctoral Degrees;2003
Maddux Roberts Sr.;353;310505;Exercise & Sports Science;Career & Tech Ed;Health Services;Exercise and Sport Science;Associate Degrees;2003
Marcela Roberts;188;470603;Auto Body Repair & Painting;Career & Tech Ed;Technology;Auto Body Repair & Painting;Certs of Achievement;2003
Miller Beer;357;400801;Physics;College of Arts & Sciences;Natural Sciences;Physics & Astronomy;Master's Degrees;2003
Sherwood Greenholt; 90;500301;Dance;College of Arts & Sciences;Arts & Humanities;Theater & Dance;Master's Degrees;2003
Mr. Carlisle Kiehn;469;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Master's Degrees;2003
Daryn Braun;499;220302;Paralegal;Career & Tech Ed;Public Services;Paralegal;Certs of Achievement;2003
Gerhardt Veum;355;131001;Special Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2003
Lindy Hodkiewicz-Johns; 25;230101;English, General;College of Arts & Sciences;Lang, Ling & Lit;English;Doctoral Degrees;2003
Maleah Stiedemann-Kuphal;408;460302;Elec Install & Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Certs of Achievement;2003
Madora McClure-Raynor;385;110101;Computer/Info Science, General;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Master's Degrees;2003
Cilla Block;464;460000;Construction Trades, General;Career & Tech Ed;Technology;Applied Trades;Certs of Achievement;2003
Destin Buckridge II;113;240101;Liberal Arts;General & Pre-Prof Ed;Liberal Arts;Liberal Arts;Associate Degrees;2003
Jajuan Roob;197;440401;Public Administration;Professional Studies Division;Public Administration;General Public Administration;Bachelor's Degrees;2003
Mrs. Kim Rippin PhD;104;380101;Philosophy;College of Arts & Sciences;Arts & Humanities;Philosophy;Bachelor's Degrees;2003
Irl Jacobson;482;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Doctoral Degrees;2003
Annetta Toy;342;400404;Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Meteorology;Master's Degrees;2003
Mr. Lawrence Skiles;154;260101;Biology/Biological Sci, Gen;College of Arts & Sciences;Natural Sciences;Biology;Bachelor's Degrees;2003
Dr. Ovid Schoen;447;240103;Humanities;Humanities Division;Humanities;Creative Media;Bachelor's Degrees;2003
Marlon Ferry;429;261201;Biotechnology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Bachelor's Degrees;2003
Mr. Chace Howell DVM; 65;520201;Business Admin & Mgmt, General;Career & Tech Ed;Business Education;Management;Associate Degrees;2003
Miss Melissia Armstrong MD;327;460302;Elec Install & Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Associate Degrees;2003
Fleming Wiza;274;260901;Physiology;School of Medicine;School of Medicine;Biomed Sci (Physiology);Master's Degrees;2003
Marques Kemmer;255;521401;Marketing;Career & Tech Ed;Business Education;Marketing;Certs of Achievement;2003
Abb White;365; 11001;Food Science & Technology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Master's Degrees;2003
Johanna Goodwin;270;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Doctoral Degrees;2003
Araceli Weissnat; 78;110103;Information Technology;Career & Tech Ed;Business Education;Information Tech;Associate Degrees;2003
Dr. Eugene Harris; 46;422806;Educational Psychology;College of Education;Education;Educational Psychology;Doctoral Degrees;2003
Kingston Bosco;408;460302;Elec Install & Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Certs of Achievement;2003
Mr. Hughie Mosciski II;324;520301;Accounting;College of Business Admin;Business Administration;School of Accountancy;Master's Degrees;2003
Dr. Darrell Quigley II; 37;500701;Art;College of Arts & Sciences;Arts & Humanities;Art;Master's Degrees;2003
Susannah Rohan PhD; 44;141901;Mechanical Engineering;College of Engineering;Engineering;Mechanical Engineering;Master's Degrees;2003
Destini Hilpert;216;240103;Humanities;Humanities Division;Humanities;History;Bachelor's Degrees;2003
Oakley Stiedemann;130;131299;Teacher Education;College of Education;Education;Inst for Teacher Ed;Master's Degrees;2003
Macarthur O'Kon-Padberg;166;450101;Social Sciences;Social Sciences Division;Social Science;Sociology;Bachelor's Degrees;2003
Denis Mante; 99;400201;Astronomy;College of Arts & Sciences;Natural Sciences;Astronomy;Bachelor's Degrees;2003
Toma Bailey;384;513801;Registered Nursing/Reg Nurse;College of Arts & Sciences;Natural Sciences;Nursing;Bachelor's Degrees;2003
Paxton Mitchell;345;131501;Teacher Assistant/Aide;Career & Tech Ed;Public Services;Educational Paraprofessional;Associate Degrees;2003
Dolly Zulauf-Kling; 85;160302;Japanese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Master's Degrees;2003
Tawny Fisher-Goyette;106;500999;Music, Other;General & Pre-Prof Ed;Music & Entertain Learning Exp;Music & Entertain Learning Exp;Associate Degrees;2003
Miss Minda Moen;126;450601;Economics;Col of Business & Economics;Business & Economics;Economics;Bachelor's Degrees;2003
Sally Thiel;  5;131210;Early Childhood Education;Career & Tech Ed;Public Services;Early Childhood Education;Associate Degrees;2003
Mr. Imanol Hirthe;238;131401;Eng for Speakers of other Lang;College of Arts & Sciences;Lang, Ling & Lit;Second Lang Studies;Doctoral Degrees;2003
Nelson McClure;273;450101;Social Sciences;Social Sciences Division;Social Science;Anthropology;Bachelor's Degrees;2003
Emilie Pollich;400;260702;Entomology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Master's Degrees;2003
Chet Koelpin;358;190499;Family Resources;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Family & Consumer Sci;Bachelor's Degrees;2003
Dr. Wilbert Hoppe;257;470605;Diesel Mechanics;Career & Tech Ed;Technology;Diesel Mechanics;Certs of Achievement;2003
Coleton Schulist;485;460415;Construction Technology;Career & Tech Ed;Technology;Construction Technology;Associate Degrees;2003
Guido White;229;450701;Geography;College of Arts & Sciences;Social Sciences;Geography;Bachelor's Degrees;2003
Trinity Lakin-Nicolas;468;460000;Construction Trades, General;Career & Tech Ed;Technology;Applied Trades;Associate Degrees;2003
Ms. Shanell Gorczany DDS;167; 10901;Animal Science;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Master's Degrees;2003
Dedric Dicki-Cormier;302;160102;Linguistics;College of Arts & Sciences;Lang, Ling & Lit;Linguistics;Doctoral Degrees;2003
Kimberli Homenick-Zieme;156; 50299;Ethnic & Cult Studies, Oth;College of Arts & Sciences;Social Sciences;Ethnic Studies;Bachelor's Degrees;2003
Lance Effertz;190; 50127;Japanese Studies;College of Arts & Sciences;Arts & Humanities;Japanese Studies;Bachelor's Degrees;2003
Barrett Johnson Sr.; 70; 30599;Trop Forest Eco Mgmt & Agrofor;Career & Tech Ed;Technology;Trop Forest Ecosys & Agrof Mgt;Associate Degrees;2003
Augustine Collier;376;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Bachelor's Degrees;2003
Maximus Gulgowski;424;260202;Biochemistry;College of Arts & Sciences;Natural Sciences;Chemistry;Bachelor's Degrees;2003
Jelani Schumm;291;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire & Envir Emergency Resp;Certs of Achievement;2003
Karan Purdy; 50;160303;Korean;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Doctoral Degrees;2003
Adrienne Erdman;138;260702;Entomology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Doctoral Degrees;2003
Rashida VonRueden; 68;430107;Administration of Justice;Career & Tech Ed;Public Services;Administration of Justice;Associate Degrees;2003
Jaunita Hickle; 43;260701;Zoology;College of Arts & Sciences;Natural Sciences;Zoology;Master's Degrees;2003
Dwain Kautzer; 56;510201;Communication Disorders, Gen;School of Medicine;School of Medicine;Communication Sci & Disorders;Master's Degrees;2003
Purl Schiller;402;260102;Biomedical Science;School of Medicine;School of Medicine;Biomedical Sciences;Doctoral Degrees;2003
Ardyce Collier-Heidenreich;379;142401;Ocean & Resources Engineering;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Ocean & Res Eng;Doctoral Degrees;2003
Boyd Miller;207;540101;History;College of Arts & Sciences;Arts & Humanities;History;Master's Degrees;2003
Rogelio Moen;378;130101;Education, General;College of Arts & Sciences;Social Sciences;Education;Master's Degrees;2003
Marcella Kshlerin-Anderson; 61;131205;Secondary Education;College of Education;Education;Inst for Teacher Ed;Other;2003
Donte Graham;383;110802;Data Modeling/Warehousing;Career & Tech Ed;Business Education;Information Tech;Certs of Achievement;2003
Ms. Danna Volkman;294;140801;Civil Engineering;College of Engineering;Engineering;Civil Engineering;Doctoral Degrees;2003
Addisyn Mann; 44;141901;Mechanical Engineering;College of Engineering;Engineering;Mechanical Engineering;Master's Degrees;2003
Miss Clementina Gaylord;314;510908;Respiratory Care;Career & Tech Ed;Health Services;Respiratory Care;Associate Degrees;2003
Miles Hansen-Spencer; 85;160302;Japanese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Master's Degrees;2003
Llewellyn Raynor;430;150303;Electronic Technology;Career & Tech Ed;Technology;Electronics Technology;Certs of Achievement;2003
Beda Rogahn; 13;451001;Political Science/Government;College of Arts & Sciences;Social Sciences;Political Science;Bachelor's Degrees;2003
Mr. Clovis Bahringer;149;420101;Psychology, General;College of Arts & Sciences;Social Sciences;Psychology;Bachelor's Degrees;2003
Joella Watsica;189;309999;Interdisciplinary Studies;Professional Studies Division;Applied Science;Respiratory Care;Bachelor's Degrees;2003
Carmen Grady;254;160103;Interpretation & Translation;Career & Tech Ed;Public Services;Interpreting;Associate Degrees;2003
Dr. Devin Mueller PhD;446;310501;Health & Physcial Education;College of Education;Education;Kinesiology & Rehab Sci;Bachelor's Degrees;2003
Kane Glover;392;140801;Civil Engineering;College of Engineering;Engineering;Civil Engineering;Bachelor's Degrees;2003
Gottlieb Williamson IV;400;260702;Entomology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Master's Degrees;2003
Candy O'Conner;  5;131210;Early Childhood Education;Career & Tech Ed;Public Services;Early Childhood Education;Associate Degrees;2003
Micaela Kshlerin;120;160302;Japanese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Bachelor's Degrees;2003
Delilah Wiegand;385;110101;Computer/Info Science, General;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Master's Degrees;2003
Saint Hoeger;469;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Master's Degrees;2003
Dr. Uriah Langosh;222;512001;Pharmacy;College of Pharmacy;Pharmacy;Pharmacy Studies;Bachelor's Degrees;2003
Gunda Breitenberg;260;110901;Computer Sys Netwrk & Telecom;Career & Tech Ed;Technology;Comp Elec & Net Tech;Associate Degrees;2003
Letitia Moore;346;131101;Counseling & Guidance;College of Education;Education;Kinesiology & Rehab Sci;Master's Degrees;2003
Brogan Labadie;264;160102;Linguistics;College of Arts & Sciences;Lang, Ling & Lit;Linguistics;Master's Degrees;2003
Jaret Green;111;400201;Astronomy;College of Arts & Sciences;Natural Sciences;Physics & Astronomy;Master's Degrees;2003
Lavada Howe; 58;500901;Music, General;College of Arts & Sciences;Arts & Humanities;Music;Master's Degrees;2003
Carlota Osinski DDS;253;400801;Physics;College of Arts & Sciences;Natural Sciences;Physics;Bachelor's Degrees;2003
Berniece Huel;439;510707;Health Info/Med Records Tech;Career & Tech Ed;Business Education;Health Information Technology;Certs of Achievement;2003
Jazlene Bernier-Bahringer;179;260502;Microbiology;College of Arts & Sciences;Natural Sciences;Microbiology;Doctoral Degrees;2003
Bradley Keebler;127;500901;Music, General;College of Arts & Sciences;Arts & Humanities;Music;Bachelor's Degrees;2003
Audriana Windler-Lesch;395;310505;Exercise & Sports Science;Career & Tech Ed;Health Services;Exercise and Sport Science;Certs of Achievement;2003
Mr. Landan Yost DVM; 15;451001;Political Science/Government;College of Arts & Sciences;Social Sciences;Political Science;Doctoral Degrees;2003
